rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
223,frame_0399.jpg,159.6,0.2913,0.3207,0.25,0.28,5,2,False,False
224,frame_0188.jpg,75.2,0.2876,0.4092,0.25,0.04,6,2,False,False
225,frame_0086.jpg,34.4,0.2811,0.2791,0.125,0.52,3,1,False,False
226,frame_0083.jpg,33.2,0.279,0.2269,0.125,0.64,3,1,False,False
227,frame_0104.jpg,41.6,0.2756,0.3531,0.25,0.12,3,2,False,False
228,frame_0111.jpg,44.4,0.2738,0.3336,0.25,0.16,3,2,False,False
229,frame_0098.jpg,39.2,0.2692,0.2974,0.375,0.04,6,3,False,False
230,frame_0119.jpg,47.6,0.2649,0.2628,0.125,0.48,2,1,False,False
231,frame_0102.jpg,40.8,0.2626,0.4021,0.125,0.12,2,1,False,False
232,frame_0215.jpg,86.0,0.2616,0.2561,0.125,0.48,3,1,False,False
233,frame_0097.jpg,38.8,0.261,0.34,0.25,0.08,5,2,False,False
234,frame_0391.jpg,156.4,0.2609,0.4307,0.125,0.04,3,1,False,False
235,frame_0207.jpg,82.8,0.2606,0.2011,0.0,0.8,2,0,False,False
236,frame_0191.jpg,76.4,0.259,0.3789,0.125,0.16,3,1,False,False
237,frame_0178.jpg,71.2,0.249,0.3591,0.125,0.16,5,1,False,False
238,frame_0226.jpg,90.4,0.249,0.3321,0.25,0.04,4,2,False,False
239,frame_0205.jpg,82.0,0.2481,0.2082,0.0,0.72,2,0,False,False
240,frame_0395.jpg,158.0,0.2452,0.2923,0.25,0.12,5,2,False,False
241,frame_0313.jpg,125.2,0.242,0.3929,0.125,0.04,3,1,False,False
242,frame_0310.jpg,124.0,0.2363,0.3656,0.125,0.08,5,1,False,False
243,frame_0172.jpg,68.8,0.2358,0.2366,0.125,0.4,4,1,False,False
244,frame_0093.jpg,37.2,0.2268,0.2827,0.125,0.24,2,1,False,False
245,frame_0324.jpg,129.6,0.2193,0.3315,0.125,0.08,2,1,False,False
246,frame_0323.jpg,129.2,0.219,0.315,0.125,0.12,4,1,False,False
247,frame_0314.jpg,125.6,0.2174,0.3278,0.125,0.08,5,1,False,False
248,frame_0325.jpg,130.0,0.2163,0.2666,0.25,0.04,4,2,False,False
249,frame_0370.jpg,148.0,0.2162,0.2664,0.25,0.04,7,2,False,False
250,frame_0271.jpg,108.4,0.2123,0.3335,0.125,0.04,4,1,False,False
251,frame_0120.jpg,48.0,0.2104,0.2127,0.0,0.52,3,0,False,False
252,frame_0197.jpg,78.8,0.1987,0.2374,0.0,0.4,1,0,False,False
253,frame_0272.jpg,108.8,0.1903,0.2735,0.125,0.08,3,1,False,False
254,frame_0190.jpg,76.0,0.1836,0.2443,0.125,0.12,4,1,False,False
255,frame_0315.jpg,126.0,0.1633,0.2786,0.0,0.12,5,0,False,False
256,frame_0110.jpg,44.0,0.0975,0.147,0.0,0.12,2,0,False,False
